# SS-002 최종 자막 — 검수 완료본
# 원칙: 말한 것만 적는다. 실언·반복은 지우되, 말하지 않은 것은 넣지 않는다.
# "타국인 곳" → "타국인 곧" 은 조사 오인식 교정.
# 시작ms	종료ms	자막
0	2480	그래서 이스라엘 모든 지파대로
2480	4840	땅을 나누어 차지하는데, 바뀐
4840	6320	점이 하나 있습니다. 22절
6320	8560	23절이에요. 같이 읽겠습니다.
8560	10519	너희는 이 땅을 나누되 제비 뽑아
10519	12240	너희와 너희 가운데 머물러 사는
12240	14759	타국인 곧 너희 가운데서 자녀를 낳은
14759	17000	자의 기업이 되게 할지니, 너희는 그
17000	18840	타국인을 본토에서 난 이스라엘
18840	21240	족속같이 여기고, 그들도 이스라엘 지파
21240	23440	중에서 너희와 함께 기업을 얻게 하되,
23440	25560	타국인이 머물러 사는 그 지파에서 그
25560	28759	기업을 줄지니라. 주 여호와의 말씀이니라.
