# SS-007 최종 자막 — 검수 완료본
# 원칙: 말한 것만 적는다. 실언·반복은 지우되, 말하지 않은 것은 넣지 않는다.
# 23880-26640 구간은 ASR이 문법적으로 붕괴되어("나의 변해 두었죠") 무엇을
# 말했는지 확정할 수 없다. 추측으로 채우지 않고 자막을 비웠다 — 화면은 계속된다.
# 시작ms	종료ms	자막
0	2880	아예 노아의 방주는
2880	5700	방향키가 없습니다. 이것을
5700	6900	바로 테바라고
6900	8520	이야기를 하는 것입니다.
8520	11700	그리고 모세가 있었던
11700	16099	그 갈대상자,
16440	19440	애굽인들이 이스라엘 아기들을 다
19440	22260	학살하고 그럴 때,
22260	23880	피해야 할지 몰라서
26640	28620	그것이 바로
28620	30120	테바입니다.
30120	32339	그것을 맡길 때
32339	36540	어떤 마음이 있었겠습니까.
36540	39500	하나님, 나는 나의 인생의 길을
39500	42839	전혀 알 수가 없습니다.
42839	44760	예측을 할 수 없습니다.
44760	46140	어떻게 살아야 될지 도무지
46140	48960	노아의 방주도 그렇고,
48960	51120	갈대상자도 그렇습니다.
51120	54660	근데 어떻게 보면
54660	55400	우리의 인생도 그러합니다.
55400	59280	하나님께서, 너희 착각하지 마.
59280	62700	너희는 방향키가 있는 인생을
62700	65579	너희가 주관해서 간다고 생각하지만
65579	67559	그렇지 않아.
67559	70520	너희는 테바를 탄 인생이야.
70559	72299	어디로 갈지 모르고
72299	74640	헤매 있는 인생이기 때문에,
74640	76440	너희의 삶을 절대
76440	80400	인도할 수가 없어.
80400	82859	너희는 테바를 탄 인생이다,
82859	85920	모든 사람들에게 주님께서
85920	90359	선포하고 계시는 것입니다.
