# SS-008 최종 자막 — 검수 완료본
# 원칙: 말한 것만 적는다. 실언·반복은 지우되, 말하지 않은 것은 넣지 않는다.
# 22절 본문은 화면에 뜬 설교 슬라이드 원문(개역개정)을 그대로 옮겼다 —
# ASR("일곱 번의 이름번까지도")보다 화면 슬라이드가 더 정확한 근거다.
# 시작ms	종료ms	자막
0	6760	근데 요게 용서라는 본문이요. 뭔가 피해를 입히다라는 거예요.
6760	16121	용서의 의미 속에 담겨 있는 게, 피해를 입혀서 채무를 탕감하여 주는 게 용서예요.
16121	23361	우리가 생각하는 그런 용서가 아니라, 무조건 용납하는 게 아니라
23361	32600	나에게 손실을 입혀서 빚진 거잖아요. 그걸 탕감해 주는 게 원어의 용서입니다.
32600	41521	누가 재산상의 피해를 입힌 거예요. 돈을 빌려갔거나 뭔가 어렵게 하거나
41521	47241	손해를 끼쳤단 말이에요. 그러면 돌려받아야 되잖아요.
47241	55880	그 사람이 나에게 손해를 끼쳤으니까, 이거 몇 번이나
55880	64001	돌려받으면 안 되겠습니까? 탕감해 주는 걸 일곱 번 정도 하면 되겠습니까?
64001	73281	그 사람이 계속해서 손해를 끼치는 거예요. 돈을 계속 빌려갔거나
73281	81721	안 갚고, 또 안 갚고, 이런 경우에 몇 번이나 참아져야 되냐?
81721	88801	그런 경우에 일곱 번을 용서해 주면 되겠습니까?
88801	93841	주님이 뭐라 그러냐면, 22절,
93841	97160	예수께서 이르시되 네게 이르노니
97160	100641	일곱 번뿐 아니라
100641	103281	일곱 번을 일흔 번까지라도 할지니라.
