# SS-011 최종 자막 — 검수 완료본 (점프컷 2구간: A 0–22.5s, B 22.5–70.2s)
# 원칙: 말한 것만 적는다. 실언·반복은 지우되, 말하지 않은 것은 넣지 않는다.
# A 구간(원본 2:00.92–2:23.40)과 B 구간(원본 6:58.64–7:46.30) 사이 자막 시간은
# 이어붙인 결과물(combined-mat6.mp4) 기준으로 다시 계산했다.
# 시작ms	종료ms	자막
0	2800	하나님이 없이 사는 사람들은
2800	6600	뭐가 가장 우선이에요? 뭐에서부터 시작해요?
6600	9200	돈 문제에서부터 시작해요.
9200	11700	싸워도 뭐 때문에 시작해요?
11700	13600	돈 문제 때문에 싸우잖아요.
13600	16400	돈 문제 때문에 걱정하고 근심하고
16400	19000	돈 문제 때문에 싸웁니다.
19000	20800	근데 주기도문을 보면은
20800	22480	돈의 문제가 가운데에 들어가 있어요.
22500	28460	오늘 우리에게 일용할 양식을 주시옵고
28460	30020	이게 그렇게 연결이 되는 거예요.
30020	32300	하늘에서부터 시작하는 거예요.
32300	34220	하나님 아버지, 하나님 계시잖아요.
34220	38020	하나님의 이름이 온 땅 가운데 존중받아
38020	42740	그분의 권세를 상징하는 거잖아요.
42740	46700	하나님께서 직접 다스리셔 가지고
46700	50620	하나님의 뜻대로 이 나라들이 바뀌었으면 좋겠습니다.
52460	55140	그리고 우리에게 뭘 달라는 거예요?
55140	58260	일용할 양식을 달라는 거예요.
58260	64900	그러니까 이 양식이라는 것 자체가 목적이 아니라
64900	67140	이 양식은 하나님의 뜻이 아름답게 이루어지는
67140	70160	수단이 되는 거예요.
