# SS-012 최종 자막 — 검수 완료본 (점프컷 2구간: A 0–23.4s, B 23.4–52.8s)
# 원칙: 말한 것만 적는다. 실언·반복은 지우되, 말하지 않은 것은 넣지 않는다.
# A 구간(원본 1:26.16–1:49.50)과 B 구간(원본 2:17.30–2:46.70) 사이 자막 시간은
# 이어붙인 결과물(combined-eph5.mp4) 기준으로 다시 계산했다.
# 시작ms	종료ms	자막
0	5341	어떻게 해야 하나님께서 인정하시는
5341	8000	그런 인생을 살 수 있는가
8000	10681	이게 굉장히 중요합니다
10681	14521	인생에 시간이 많이 남았든 적게 남았든
14521	18901	하나님이 인정하시는 인생은 무엇인가
18901	23341	다르게 살아야 됩니다
23407	27306	하나님의 지혜가 있는 사람은
27306	31267	성경이 말하는 지혜란
31267	34026	단순히 똑똑한 게 아니라
34026	39547	하나님이 함께하시는 사람이라는 뜻입니다
39547	43927	그런 사람이 지혜 있는 사람이고
43927	52767	하나님과 함께하는 사람으로 살아야 합니다
