# SS-018 최종 자막 — 검수 완료본 (단일 구간, 원본 35:10.44–36:19.16)
# 원칙: 말한 것만 적는다. 실언·반복은 지우되, 말하지 않은 것은 넣지 않는다.
# L-28 재확인 — 각 큐 34자(17자×2줄) 이하로 유지.
# 시작ms	종료ms	자막
0	4123	옛날에 그런 경우가 있어요
4123	8934	어떤 땅이 저주받은 땅이었는데
8934	14088	거기만 가면 사람이 죽어 나가고 병이 걸리고 그래요
14088	18554	근데 거기에 교회가 들어왔어요
18554	23021	처음엔 그 땅에 건축하지 말라고
23021	27144	아주 불길한 땅이라고 했어요
27144	31955	근데 교회가 들어와서 하나님의 뜻을 행하니까
31955	35047	오히려 더 잘되는 거야
35047	39514	그러면 그 땅이 저주받은 땅이겠어요
39514	43637	갑자기 부동산 가치가 올라가는 땅이 되는 거죠
43637	47760	결국 모든 저주는 하나님께 불순종하고
47760	50853	자기 멋대로 살아서 받게 되는 꼬리표예요
50853	54289	근데 이걸 우리 삶에도 적용할 수 있습니다
54289	58068	우리가 만약 안 좋은 평가를 받았다면
58068	61848	그런 것은 사실은 존재하지 않는 것이고
61848	66315	하나님 안에서 얼마든지 바뀌어서 새 사람이
66315	68720	될 수 있어요
